Cover Me,DayStar,Draw Me Close To You,Hallelujah Praises To Your Name,Hallelujah He's An Answering God,He Knows My Name,Do You Know Him,Do You Know Him,Don't Let His Name Go Down,I'm So Glad That I Was Buried,I Give Myself Away,Overcomer,,,,,,Blessed Assurance
DayStar,Dedicate This Temple,Evermore,He Is Lord,He Brought Me A Mighty Long Way,He's Coming Soon,Enemy's Camp,Enemy's Camp,Don't Let The Devil Ride,Our God Is An Awesome God,I Won't Go Back,Silver And Gold,,,,,,
Dedicate This Temple,Don't Let Me Stand Without A Star,Fill Me Up,He Touched Me,He Came Looking Looking For Me,He's Everything They Told Me,Everybody Will Happy Over There,Everybody Will Happy Over There,Enemy's Camp,Shackles,King Of Glory,Speak Life,,,,,,Calling Today He's Calling Today
Don't Let Me Stand Without A Star,Beulah Land,God Is Greater Than The Need,He Will Carry You,He Knows My Name  / The Mcraes,Heavenly Father I Appreciate You,Garment of Praise,Give Him The Glory,Freeedom,Sing Unto The Lord A New Song,MIracle Worker,The Presence Of The Lord,,,,,,Close To Thee
Beulah Land,Every Time I Speak His Name,Hallelujah Praise The Lamb,He'll Do It Again,He That The Son Has Set Free,I Am Not My Own ( I've Been Bought With A Price),Give Him The Glory,Glorious Day (Living He Loved Me),Get Your Mind On Jesus,Yahweh His Name Yahweh The Lord Is One,No Longer Slaves,Through It All,,,,,,Come Unto Me And I Will Give You Rest
Every Time I Speak His Name,For What Earthly Reason,Hallelujah Oh Lord We Praise Your Name,Hear Us From Heaven,He'll Make A Way,I Have Decided To Follow Jesus,Glorious Day (Living He Loved Me),Glory To His Name,Give Glory To The Lord,Shake the Foundations,No One Higher,Wash Me Lord,,,,,,Coming Down Down Down
For What Earthly Reason,From Heaven's Point Of View,Have Thine Own Way,Heaven On My Mind,He's Everything They Told Me,I Was Glad When They Said Unto Me,Glory To His Name,God Is About To Do Marvelous Things,Give Him Praise,I'm Determined In My Heart To Prasie Him,Praise Him Jesus Blessed Saviour,We Fall Down,,,,,,Coming Home
From Heaven's Point Of View,Giving My Best,He Gives Strength To Me,Here I Am To Worship,How Great Is Our God,(I'll Say) Yes Lord Yes,God Is About To Do Marvelous Things,God Is Good All The Time,Give The Lord The Highest Praise [Come On And],God's Not Dead,Something Happens,We Win,,,,,,
Giving My Best,Great Is Thy Faithfulness,He's God,Holy Ground,Hunger,I Will Bless Thee O Lord,God Is Good All The Time,Goodbye World Goodbye,Glorious,,Spirit Break Out,Praise Him Jesus Blessed Saviour,,,,,,Dear Jesus Abide With Me
Great Is Thy Faithfulness,Goodness of God,He's My Lord,Holy Holy Holy,I Came To Praise The Lord,I Will Enter His Gates,Goodbye World Goodbye,Hallelujah Amen,Glory Glory Hallelujah,,Thank You Jesus For The Blood,I Got The Victory,,,,,,Do You Know My Jesus Do You Know My Friend?
