When He Was On The Cross,When He Was On The Cross,We Sing Worthy,,Worth,,,,Won't We Have A Time,,,,,,,,,In Times Like These
Where Could I Go,Where Could I Go,We Worship You With Lips Of Adoration,,Worth It,,,,,,,,,,,,,Into My Heart Into My Heart
Wonderful Peace,Wonderful Peace,Welcome Into This Place,,You're Gonna Make It,,,,,,,,,,,,,Into Thy Chamber
Worthy Of It All,Worthy Of It All,What A Beautiful Name,,Your Great Name,,,,,,,,,,,,,Into Your Presence We Come
Written In Red,Written In Red,Where He Leads Me ( I Will Follow),,Zion Is Calling Me,,,,,,,,,,,,,Is Thine Heart Right With God
You Alone,You Alone,Worship The King,,,,,,,,,,,,,,,Is Your All On The Altar Of Sacrifice Lain?
You Are,You Are,You Alone,,,,,,,,,,,,,,,It's For Me It's For You For Your Children...
You Are My All In All,You Are My All In All,You Are God Alone,,,,,,,,,,,,,,,It's Harvest Time
You Are My Hiding Place,You Are My Hiding Place,You Are Near,,,,,,,,,,,,,,,It's My Desire
You Deserve Our Worship,You Deserve Our Worship,You Deserve The Glory,,,,,,,,,,,,,,,It's Not The First Mile
You're Magnificent,You're Magnificent,You Deserve Our Worship,,,,,,,,,,,,,,,It's Real It's Real
Your Grace And Mercy,Your Grace And Mercy,You're Still Lord,,,,,,,,,,,,,,,It Reaches To The Highest Mountain
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Jesus Be The Lord Of All
,,,,,,,,,,,,,,,,,Jesus Breaks Every Fetter
,,,,,,,,,,,,,,,,,Jesus I Love You For Your Tender Care
,,,,,,,,,,,,,,,,,Jesus Is Here Right Now Reach Out And Touch Him
,,,,,,,,,,,,,,,,,Jesus On The Main Line
,,,,,,,,,,,,,,,,,Jesus Use Me Oh Lord Please Don.T Refuse Me
,,,,,,,,,,,,,,,,,Jesus My Reason For Living
,,,,,,,,,,,,,,,,,Jesus Oh Jesus Do You Know Him Today?
,,,,,,,,,,,,,,,,,Just A Closer Walk With Thee
,,,,,,,,,,,,,,,,,Just As I Am Without One Plea
,,,,,,,,,,,,,,,,,Just Cry Jesus
,,,,,,,,,,,,,,,,,Kneel At The Cross
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Lead Me To Calvary
,,,,,,,,,,,,,,,,,Lead Me Guide Me Along Life's Way
,,,,,,,,,,,,,,,,,Learning To Lean Learning To Lean
,,,,,,,,,,,,,,,,,Leave Them There Leave Them There
,,,,,,,,,,,,,,,,,Lest I Forget
,,,,,,,,,,,,,,,,,Let It Breathe On Me...
,,,,,,,,,,,,,,,,,Let Me Lose Myself And Find It Lord In Thee
,,,,,,,,,,,,,,,,,Let Me Walk With You Jesus
,,,,,,,,,,,,,,,,,Let The Lower Lights Be Burning
,,,,,,,,,,,,,,,,,Look To The Lamb Of God
,,,,,,,,,,,,,,,,,Look What The Lord Has Done
,,,,,,,,,,,,,,,,,Lord Don't Let Me Fail
,,,,,,,,,,,,,,,,,Lord Lay Some Soul Upon My Heart
,,,,,,,,,,,,,,,,,Lord Lift Me Up And Let Me Stand
,,,,,,,,,,,,,,,,,Lord Lift Us Up Where We Belonq
,,,,,,,,,,,,,,,,,Lord Prepare Me A Sanctuary
,,,,,,,,,,,,,,,,,Lord Send A Revival Of The Old Time Power
,,,,,,,,,,,,,,,,,Lovest Thou Me More Than These....?
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Make Me What I Ought To Be
,,,,,,,,,,,,,,,,,Many Things About Tomorrow
,,,,,,,,,,,,,,,,,Mercy Rewrote My Life
,,,,,,,,,,,,,,,,,Mercy There Was Great And Grace Was Free
,,,,,,,,,,,,,,,,,More Of Thee More Of Thee I Have All But What I
,,,,,,,,,,,,,,,,,Move Me With Your Message
,,,,,,,,,,,,,,,,,Must Jesus Bear The Cross Alone
,,,,,,,,,,,,,,,,,My House Is Full But My Field Is Empty
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Near The Cross
,,,,,,,,,,,,,,,,,Nearing Home
,,,,,,,,,,,,,,,,,No One Ever Cared For Me Like Jesus
,,,,,,,,,,,,,,,,,No One No One Like Jesus
,,,,,,,,,,,,,,,,,Now Let Us Have A Little Talk With Jesus
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Oh For A Thousand Tongues To Sing
,,,,,,,,,,,,,,,,,Oh Lord Have Mercy
,,,,,,,,,,,,,,,,,Oh Soul Away Soon The Lord Shall Come And None...
,,,,,,,,,,,,,,,,,Oh What A Saviour
,,,,,,,,,,,,,,,,,Oh Why Not Tonight?
,,,,,,,,,,,,,,,,,Oh It Is Jesus Oh It Is Jesus
,,,,,,,,,,,,,,,,,One Day Too Late
,,,,,,,,,,,,,,,,,One Touch Of His Hand
,,,,,,,,,,,,,,,,,Only Believe
,,,,,,,,,,,,,,,,,Only Jesus Can Satisfy
,,,,,,,,,,,,,,,,,Only Trust Him Only Trust Him
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Pass Me Not
,,,,,,,,,,,,,,,,,Peace Peace
,,,,,,,,,,,,,,,,,Pentecostal Fire Is Falling
,,,,,,,,,,,,,,,,,Precious Blood
,,,,,,,,,,,,,,,,,Precious Jesus
,,,,,,,,,,,,,,,,,Reach Out And Touch The Lord
,,,,,,,,,,,,,,,,,Renew In Me That 1st Love
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Search Me Lord Search Me Lord Shine The Light Of
,,,,,,,,,,,,,,,,,Search Me Oh God
,,,,,,,,,,,,,,,,,Send It On Down Send It On Down
,,,,,,,,,,,,,,,,,Serve Him With All Of Your Heart
,,,,,,,,,,,,,,,,,Sheltered In The Arms Of God
,,,,,,,,,,,,,,,,,Shut In With God In A Secret Place
,,,,,,,,,,,,,,,,,Sin Can Never Enter There
,,,,,,,,,,,,,,,,,Softly And Tenderly
,,,,,,,,,,,,,,,,,Some Glorious Daybreak Jesus Will Come
,,,,,,,,,,,,,,,,,Someday There'll Be No Tomorrow
,,,,,,,,,,,,,,,,,Something Got A Hold Of Me
,,,,,,,,,,,,,,,,,Speak My Lord Speak My Lord
,,,,,,,,,,,,,,,,,Spirit Of The Living God Fall Fresh On Me
,,,,,,,,,,,,,,,,,Sweep Over My Soul
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Take It All Take It All What The World
,,,,,,,,,,,,,,,,,Take Up Thy Cross And Follow Me
,,,,,,,,,,,,,,,,,Teach Me Lord To Wait
,,,,,,,,,,,,,,,,,Tell It To Jesus Tell It To Jesus
,,,,,,,,,,,,,,,,,Thank You Lord For Saving My Soul
,,,,,,,,,,,,,,,,,The Cross Is Not Greater Than His Grace
,,,,,,,,,,,,,,,,,The Lighthouse
,,,,,,,,,,,,,,,,,The Longer I Serve Him The Sweeter He Grows
,,,,,,,,,,,,,,,,,The Old Rugged Cross
,,,,,,,,,,,,,,,,,The Old Rugged Cross Makes The Difference
,,,,,,,,,,,,,,,,,The Unseen Hand
,,,,,,,,,,,,,,,,,The Way Of The Cross Leads Home
,,,,,,,,,,,,,,,,,The World Needs Jesus But Why Should I Tell You?
,,,,,,,,,,,,,,,,,There's A Great Day Coming A Great Day Coming
,,,,,,,,,,,,,,,,,There's A Sweet Sweet Spirit In This Place
,,,,,,,,,,,,,,,,,There's No One No One Like Jesus
,,,,,,,,,,,,,,,,,There's Room At The Cross For You
,,,,,,,,,,,,,,,,,There Is A Fountain Filled With Blood
,,,,,,,,,,,,,,,,,There Is A Fountain Which Flows From Calvary
,,,,,,,,,,,,,,,,,There Is A Place Of Quietness
,,,,,,,,,,,,,,,,,There Is Coming A Day
,,,,,,,,,,,,,,,,,There Is Just No Place Like Home
,,,,,,,,,,,,,,,,,There Is Power Power
,,,,,,,,,,,,,,,,,Through It All Through It All...
,,,,,,,,,,,,,,,,,Throw Out The Lifeline
,,,,,,,,,,,,,,,,,To Be Like Jesus
,,,,,,,,,,,,,,,,,To Be Used Of God
,,,,,,,,,,,,,,,,,Tomorrow
,,,,,,,,,,,,,,,,,Touching Jesus Is All That Really Matters
,,,,,,,,,,,,,,,,,Trust In The Lord With All Thine Heart...
,,,,,,,,,,,,,,,,,Turn Your Eyes Upon Jesus
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Until Then
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Wasted Years
,,,,,,,,,,,,,,,,,We Bring A Sacrifice Of Praise
,,,,,,,,,,,,,,,,,We Dedicate This Temple To You Lord
,,,,,,,,,,,,,,,,,We Have Come Into This House To Magnify The Lord...
,,,,,,,,,,,,,,,,,What A Mighty God We Serve
,,,,,,,,,,,,,,,,,What Can He Do..
,,,,,,,,,,,,,,,,,When He Reached Down His Hand For Me
,,,,,,,,,,,,,,,,,When I See The Blood
,,,,,,,,,,,,,,,,,When I Walk Up Those Streets Of Gold
,,,,,,,,,,,,,,,,,When Jesus Breaks The Morning
,,,,,,,,,,,,,,,,,Where Could I Go?
,,,,,,,,,,,,,,,,,Where He Leads Me I Will Follow
,,,,,,,,,,,,,,,,,Where Will You Be A Million Years From Now
,,,,,,,,,,,,,,,,,While I Was Praying Somebody Touched Me
,,,,,,,,,,,,,,,,,Who Am I That A King
,,,,,,,,,,,,,,,,,Why Don't You Lift Up Your Hands And Praise The Lord
,,,,,,,,,,,,,,,,,Why Not Tonight?
,,,,,,,,,,,,,,,,,Why Should He Love Me So?
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Yes I Know Jesus Blood Can Make..
,,,,,,,,,,,,,,,,,You've Got To Live Forever Somewhere
,,,,,,,,,,,,,,,,,You Can't Make Me Doubt It....
,,,,,,,,,,,,,,,,,You Never Mentioned Him To Me
,,,,,,,,,,,,,,,,,You Won't Leave Here Like You Came
